N°,ID,Domaine,Catégorie,Notion,Libellé source / description,Niveau,ValidationMode suggéré,Type d'exercice,Priorité de production,Nb exercices Magpie prévus,À réaliser par,Statut,Lien,Notes
16,PRG-088,0 – Socle Rhino (prérequis),Préparation à l'impression 3D,Contraintes d'impression 3D,"Contraintes spécifiques de la modélisation pour l'impression 3D (épaisseur minimale, angle de surplomb, etc.).",Débutant,Conceptuel (QCM),QCM / question ciblée,P0,,,,,
17,PRG-089,0 – Socle Rhino (prérequis),Préparation à l'impression 3D,Précision et unités,Modélisation de précision et unités de mesure,Débutant,Conceptuel (QCM),QCM / question ciblée,P0,,,,,
18,PRG-090,0 – Socle Rhino (prérequis),Préparation à l'impression 3D,Échelle et précision,Utilisation des unités et paramétrage pour l’échelle et la précision.,Débutant,Conceptuel (QCM),QCM / question ciblée,P0,,,,,
19,PRG-091,0 – Socle Rhino (prérequis),Préparation à l'impression 3D,Solides pour impression 3D,Création de solides pour l'impression 3D,Débutant,SingleValue,Exercice Grasshopper,P0,,,,,
20,PRG-092,0 – Socle Rhino (prérequis),Préparation à l'impression 3D,Solides étanches,"Techniques de construction de solides ""étanches"" nécessaires pour l’impression 3D.",Débutant,SingleValue,Exercice Grasshopper,P0,,,,,
21,PRG-093,0 – Socle Rhino (prérequis),Préparation à l'impression 3D,Contrôle des erreurs,"Contrôle des erreurs de construction (trous, surfaces ouvertes, etc.).",Débutant,SingleValue,Exercice Grasshopper,P0,,,,,
22,PRG-095,0 – Socle Rhino (prérequis),Préparation à l'impression 3D,Outils d'analyse,Utilisation des outils d’analyse pour détecter les erreurs.,Débutant,Conceptuel (QCM),QCM / question ciblée,P0,,,,,
23,PRG-096,0 – Socle Rhino (prérequis),Préparation à l'impression 3D,Commandes de correction,"Utilisation des commandes de correction (remplissage de trous, jointure, etc.)",Débutant,SingleValue,Exercice Grasshopper,P0,,,,,
24,PRG-097,0 – Socle Rhino (prérequis),Préparation à l'impression 3D,Export STL / OBJ,Exportation des modèles 3D au format STL ou OBJ et paramètres d'exportation et optimisation des maillages pour réduire les erreurs d’impression.,Débutant,Conceptuel (QCM),Démonstration formateur,P0,,,,,
25,PRG-001,1 – Environnement et principes Grasshopper,Principes et interface Grasshopper,Principes de la conception paramétrique,Introduction à la conception paramétrique avec Grasshopper (Principes de la programmation visuelle),Débutant,Conceptuel (QCM),QCM / question ciblée,P0,,,,,
26,PRG-002,1 – Environnement et principes Grasshopper,Principes et interface Grasshopper,Interopérabilité Rhino – Grasshopper,Interopérabilité entre Grasshopper et Rhino (Bake et Geometry Pipeline),Débutant,GeometryTolerance,Exercice Grasshopper,P0,,,,,
27,PRG-003,1 – Environnement et principes Grasshopper,Principes et interface Grasshopper,Flux de données et câblage,"La logique de Grasshopper (Curseurs, données d’entrée, panel, données de sortie, branchement des câbles… )",Débutant,SingleValue,Exercice Grasshopper,P0,,,,,
28,PRG-004,1 – Environnement et principes Grasshopper,Principes et interface Grasshopper,Interface et canvas,L’environnement et l’interface de Grasshopper (Barre d’outils et navigation dans le Canvas),Débutant,Conceptuel (QCM),QCM / question ciblée,P0,,,,,
29,PRG-063,1 – Environnement et principes Grasshopper,Écosystème de plugins,Installation de plugins – Food4Rhino,Installer un plugin à partir d’un fichier gha ou exe téléchargé sur food4rhino,Intermédiaire,Conceptuel (QCM),Démonstration formateur,P1,,,,,
30,PRG-064,1 – Environnement et principes Grasshopper,Écosystème de plugins,Installation de plugins – Package Manager,Installer un plugin depuis le package manager,Intermédiaire,Conceptuel (QCM),Démonstration formateur,P1,,,,,
31,PRG-065,1 – Environnement et principes Grasshopper,Écosystème de plugins,Plugins d'ergonomie – principe,Customisation de l’interface avec des plugins d’ergonomie ;,Intermédiaire,Conceptuel (QCM),QCM / question ciblée,P1,,,,,
32,PRG-066,1 – Environnement et principes Grasshopper,Écosystème de plugins,Plugin Bifocals,Bifocals : Ajoute des étiquettes flottantes au-dessus des composants pour rendre l'interface plus lisible.,Intermédiaire,Conceptuel (QCM),Démonstration formateur,P1,,,,,
33,PRG-067,1 – Environnement et principes Grasshopper,Écosystème de plugins,Plugin SnappingGecko,"SnappingGecko : pour aimanter les composants les uns aux autres horizontalement ou verticalement, facilite le rangement",Intermédiaire,Conceptuel (QCM),Démonstration formateur,P1,,,,,
34,PRG-068,1 – Environnement et principes Grasshopper,Écosystème de plugins,Plugin Palette,Palette : Changer les couleurs de l’interface Grasshopper,Intermédiaire,Conceptuel (QCM),Démonstration formateur,P1,,,,,
35,PRG-069,1 – Environnement et principes Grasshopper,Écosystème de plugins,Plugin Moonlight,Moonlight : Ajoute un mode sombre à l’interface,Intermédiaire,Conceptuel (QCM),Démonstration formateur,P1,,,,,
36,PRG-070,1 – Environnement et principes Grasshopper,Écosystème de plugins,Plugin pOd,pOd : pour afficher la vue Rhino sur le canvas Grasshopper,Intermédiaire,Conceptuel (QCM),Démonstration formateur,P1,,,,,
37,PRG-071,1 – Environnement et principes Grasshopper,Écosystème de plugins,Plugin AutoGraph,AutoGraph : pour ranger automatiquement la definition et “déméler les “fils” entre les composants,Intermédiaire,Conceptuel (QCM),Démonstration formateur,P1,,,,,
38,PRG-072,1 – Environnement et principes Grasshopper,Écosystème de plugins,Plugins fonctionnels – principe,Plugins essentiels couramment utilisés pour ajouter des fonctions à Grasshopper :,Intermédiaire,Conceptuel (QCM),QCM / question ciblée,P1,,,,,
39,PRG-073,1 – Environnement et principes Grasshopper,Écosystème de plugins,Plugins fonctionnels essentiels,"Metahopper, Human, Elefront, Weaverbird, Pufferfish, LunchBox",Intermédiaire,Conceptuel (QCM),QCM / question ciblée,P1,,,,,
40,FND-01,2 – Données et logique,Types et conversion implicite,Types de base et conversion implicite,"Comportement d'un flux de données (Number, Integer, Text, Boolean, Point...) quand il est accepté implicitement par un composant attendant un autre type (ex : slider → integer).",Débutant,SingleValue,Exercice Grasshopper,P0,,,,,Notion issue du tableau des fondamentaux Magpie V1. Aucun item de programme correspondant.
41,FND-02,2 – Données et logique,Types et conversion implicite,Échec de conversion et valeurs invalides,"Ce qui se produit quand une conversion implicite échoue (texte non numérique vers un input numérique, etc.) : message d'erreur, valeur nulle, composant en échec.",Intermédiaire,SingleValue,Exercice Grasshopper,P1,,,,,Notion issue du tableau des fondamentaux Magpie V1. Aucun item de programme correspondant.
42,FND-03,2 – Données et logique,Listes,"Item, liste et indexation (0-based)","Différence entre un item unique et une liste, lecture d'un élément à un index donné (List Item), indexation négative.",Débutant,SingleValue,Exercice Grasshopper,P0,,,,,Notion issue du tableau des fondamentaux Magpie V1. Rapprochement programme : PRG-017
43,FND-04,2 – Données et logique,Listes,Longueur et génération de séries,"Comptage d'une liste (List Length) et génération de séquences numériques (Series, Range).",Débutant,ExactOrderedList,Exercice Grasshopper,P0,,,,,Notion issue du tableau des fondamentaux Magpie V1. Rapprochement programme : PRG-017
44,FND-07,2 – Données et logique,Listes,"Tri (Sort List, Sort Text)","Réordonnancement d'une liste selon une clé de tri, avec ou sans liste secondaire liée.",Débutant,ExactOrderedList,Exercice Grasshopper,P0,,,,,Notion issue du tableau des fondamentaux Magpie V1. Rapprochement programme : PRG-017
45,FND-08,2 – Données et logique,Listes,"Filtrage et suppression (Cull Pattern, Dispatch)",Élimination ou séparation d'éléments d'une liste selon un motif booléen répétitif.,Intermédiaire,SetEquality,Exercice Grasshopper,P1,,,,,Notion issue du tableau des fondamentaux Magpie V1. Rapprochement programme : PRG-017
46,FND-09,2 – Données et logique,Listes,"Décalage et permutation (Shift List, Reverse List)","Rotation, décalage circulaire et inversion de l'ordre des éléments d'une liste.",Intermédiaire,ExactOrderedList,Exercice Grasshopper,P1,,,,,Notion issue du tableau des fondamentaux Magpie V1. Rapprochement programme : PRG-017
47,PRG-017,2 – Données et logique,Listes,Listes – traitement et tri,"Outils de traitement des Listes, fonctions de tri par ordre croissant et décroissant",Débutant,ExactOrderedList,Exercice Grasshopper,P0,,,,,
48,FND-11,2 – Données et logique,Arbres de données,Branche et chemin (path),"Structure d'un arbre de données : notion de branche, de chemin ({0;0;1}) et de correspondance avec une liste imbriquée.",Intermédiaire,SingleValue,Exercice Grasshopper,P1,,,,,Notion issue du tableau des fondamentaux Magpie V1. Rapprochement programme : PRG-018
49,FND-12,2 – Données et logique,Arbres de données,Graft et Flatten,Transformation d'une structure de données : éclatement d'une liste en branches individuelles (Graft) et aplatissement d'un arbre en une seule liste (Flatten).,Intermédiaire,SetEquality,Exercice Grasshopper,P1,,,,,Notion issue du tableau des fondamentaux Magpie V1. Rapprochement programme : PRG-024
50,FND-13,2 – Données et logique,Arbres de données,Simplify et Trim Tree,Nettoyage de la structure d'un arbre : suppression des niveaux de branche redondants.,Intermédiaire,SetEquality,Exercice Grasshopper,P1,,,,,Notion issue du tableau des fondamentaux Magpie V1. Rapprochement programme : PRG-024
51,PRG-018,2 – Données et logique,Arbres de données,Arbres – construction et lecture,Création et lecture d’un arbre de données et numérotation des branches,Intermédiaire,SetEquality,Exercice Grasshopper,P1,,,,,
52,PRG-024,2 – Données et logique,Arbres de données,Arbres – Graft et Flatten,"Approfondir les listes et arbres de données (créer un arbre de données, lire dans un arbre de données, Graft et Flatten)",Intermédiaire,SetEquality,Exercice Grasshopper,P1,,,,,
53,FND-05,2 – Données et logique,Comportements implicites,Data Matching par défaut (shortest list),Comportement automatique de Grasshopper quand deux listes de tailles différentes entrent dans un même composant : troncature implicite sur la plus courte.,Intermédiaire,ExactOrderedList,Exercice Grasshopper,P1,,,,,Notion issue du tableau des fondamentaux Magpie V1. Aucun item de programme correspondant.
54,FND-06,2 – Données et logique,Comportements implicites,"Data Matching explicite (Longest List, Cross Reference)",Bascule volontaire entre les modes de correspondance (clic droit sur le composant) et conséquences sur le résultat produit.,Intermédiaire,ExactOrderedList,Exercice Grasshopper,P1,,,,,Notion issue du tableau des fondamentaux Magpie V1. Aucun item de programme correspondant.
55,FND-10,2 – Données et logique,Comportements implicites,Valeurs nulles / vides dans une liste,Propagation silencieuse des valeurs null à travers les composants et impact sur les calculs en aval.,Intermédiaire,SetEquality,Exercice Grasshopper,P1,,,,,Notion issue du tableau des fondamentaux Magpie V1. Aucun item de programme correspondant.
56,FND-14,2 – Données et logique,Comportements implicites,Recalcul automatique et ordre d'évaluation,"Logique de mise à jour du canvas : recalcul en cascade à la modification d'une entrée, notion de dépendance entre composants (conceptuel, à valider via question ciblée plutôt que comparaison de résultat).",Intermédiaire,SingleValue (conceptuel),Exercice Grasshopper,P1,,,,,Notion issue du tableau des fondamentaux Magpie V1. Rapprochement programme : PRG-027
57,FND-15,2 – Données et logique,Outils de texte,Concaténation et construction de chaînes,"Assemblage de plusieurs éléments en une seule chaîne de caractères (Concatenate, Text Join) avec ou sans séparateur.",Débutant,SingleValue,Exercice Grasshopper,P0,,,,,Notion issue du tableau des fondamentaux Magpie V1. Aucun item de programme correspondant.
58,FND-16,2 – Données et logique,Outils de texte,Manipulation de texte,"Opérations courantes sur une chaîne : découpe (Split), remplacement (Replace), nettoyage (Trim), casse (Upper/Lower).",Intermédiaire,SingleValue,Exercice Grasshopper,P1,,,,,Notion issue du tableau des fondamentaux Magpie V1. Aucun item de programme correspondant.
59,FND-17,2 – Données et logique,Portes logiques,Booléens et comparaisons,"Production d'une valeur booléenne à partir d'une comparaison (Equality, Larger Than, Smaller Than).",Débutant,SingleValue,Exercice Grasshopper,P0,,,,,Notion issue du tableau des fondamentaux Magpie V1. Aucun item de programme correspondant.
60,FND-18,2 – Données et logique,Portes logiques,Opérateurs logiques combinés,"Combinaison de plusieurs conditions (And, Or, Not, Logic Gate) pour produire un résultat booléen unique.",Intermédiaire,SingleValue,Exercice Grasshopper,P1,,,,,Notion issue du tableau des fondamentaux Magpie V1. Aucun item de programme correspondant.
61,FND-19,2 – Données et logique,Portes logiques,Structure conditionnelle,"Utilisation d'une condition pour orienter un résultat ou filtrer une liste (If, Stream Filter, Dispatch piloté par condition).",Intermédiaire,SetEquality,Exercice Grasshopper,P1,,,,,Notion issue du tableau des fondamentaux Magpie V1. Aucun item de programme correspondant.
62,PRG-005,3 – Géométrie paramétrique,Géométrie vectorielle et filaire,Géométrie vectorielle,"Création d’éléments de construction vectoriels (Points, vecteurs, plans)",Débutant,GeometryTolerance,Exercice Grasshopper,P0,,,,,
63,PRG-006,3 – Géométrie paramétrique,Géométrie vectorielle et filaire,Géométrie filaire,"Création de géométrie filaire (Cercles, carrés, Polygones, Courbes…)",Débutant,GeometryTolerance,Exercice Grasshopper,P0,,,,,
64,PRG-007,3 – Géométrie paramétrique,Géométrie vectorielle et filaire,Division de courbes,Les outils de division de courbes,Débutant,GeometryTolerance,Exercice Grasshopper,P0,,,,,
65,PRG-008,3 – Géométrie paramétrique,Plan paramétrique,Dessin paramétrique 2D,Exercice d’application sur un dessin paramétrique 2D,Débutant,GeometryTolerance,Exercice de synthèse,P0,,,,,
66,PRG-009,3 – Géométrie paramétrique,Plan paramétrique,Cotation automatique,Génération des cotations automatique,Débutant,SetEquality,Exercice Grasshopper,P0,,,,,
67,PRG-010,3 – Géométrie paramétrique,Transformations et réseaux,Transformations,"Les outils de transformation (matrice linéaire, polaire, rotation , symétrie…)",Débutant,GeometryTolerance,Exercice Grasshopper,P0,,,,,
68,PRG-011,3 – Géométrie paramétrique,Transformations et réseaux,Matrices rectangulaires et polaires,Les matrices rectangulaires et polaires,Débutant,GeometryTolerance,Exercice Grasshopper,P0,,,,,
69,PRG-012,3 – Géométrie paramétrique,Surfaces et solides,Surfaces,"Création de géométrie surfacique (balayage, surface par section…)",Débutant,GeometryTolerance,Exercice Grasshopper,P0,,,,,
70,PRG-013,3 – Géométrie paramétrique,Surfaces et solides,Solides fermés,Comment boucher les trous d’une polysurface pour former un solide fermé,Débutant,SingleValue,Exercice Grasshopper,P0,,,,,
71,PRG-014,3 – Géométrie paramétrique,Surfaces et solides,Intersections entre solides,Recherche d’intersection entre différentes géométries,Débutant,GeometryTolerance,Exercice Grasshopper,P0,,,,,
72,PRG-015,3 – Géométrie paramétrique,Surfaces et solides,Détection de collisions,Détection de collisions,Débutant,SetEquality,Exercice Grasshopper,P0,,,,,
73,PRG-016,3 – Géométrie paramétrique,Synthèse géométrie,Modèle 3D paramétrique,Exercice d’application sur un modèle 3D paramétrique,Débutant,GeometryTolerance,Exercice de synthèse,P0,,,,,
74,PRG-049,3 – Géométrie paramétrique,Maillages et SubD,Maillages – génération,Générer des Maillages avec Weaverbird,Perfectionnement,GeometryTolerance,Exercice Grasshopper,P2,,,,,
75,PRG-050,3 – Géométrie paramétrique,Maillages et SubD,Maillages – lissage,Adoucir un maillage,Perfectionnement,GeometryTolerance,Exercice Grasshopper,P2,,,,,
76,PRG-051,3 – Géométrie paramétrique,Maillages et SubD,Maillages – réparation,Réparer un maillages avec Mesh+,Perfectionnement,GeometryTolerance,Exercice Grasshopper,P2,,,,,
77,PRG-052,3 – Géométrie paramétrique,Maillages et SubD,SubD – génération,Générer une surface SubD à partir d’un maillage,Perfectionnement,GeometryTolerance,Exercice Grasshopper,P2,,,,,
78,PRG-053,3 – Géométrie paramétrique,Maillages et SubD,SubD – déformation,Déformer une surface SubD à partir d’un squelette,Perfectionnement,GeometryTolerance,Exercice Grasshopper,P2,,,,,
79,PRG-019,"4 – Mesures, quantitatifs et export",Mesures géométriques,Mesures dimensionnelles,"Outils de mesure (Longueurs, Aires, Volumes)",Débutant,NumericTolerance,Exercice Grasshopper,P0,,,,,
80,PRG-020,"4 – Mesures, quantitatifs et export",Mesures géométriques,Rayon et courbure,Mesure de rayon et courbure,Débutant,NumericTolerance,Exercice Grasshopper,P0,,,,,
81,PRG-021,"4 – Mesures, quantitatifs et export",Mesures géométriques,Centre de gravité,Recherche d’un centre de gravité,Débutant,NumericTolerance,Exercice Grasshopper,P0,,,,,
82,PRG-022,"4 – Mesures, quantitatifs et export",Quantitatifs et chiffrage,Métrés,Exercice d’application sur un calcul de métrés,Intermédiaire,NumericTolerance,Exercice de synthèse,P1,,,,,
83,PRG-023,"4 – Mesures, quantitatifs et export",Quantitatifs et chiffrage,Chiffrage et devis,Exercice d’application sur un devis généré à partir d’un modèle 3D grasshopper,Intermédiaire,NumericTolerance,Exercice de synthèse,P1,,,,,
84,PRG-036,"4 – Mesures, quantitatifs et export",Quantitatifs et chiffrage,Comptage de quantités,Comptage automatique des quantités de blocs,Intermédiaire,SingleValue,Exercice Grasshopper,P1,,,,,
85,PRG-037,"4 – Mesures, quantitatifs et export",Export de données,Préparation de données tabulaires,Préparation des données des colonnes dans Grasshopper,Intermédiaire,ExactOrderedList,Exercice Grasshopper,P1,,,,,
86,PRG-038,"4 – Mesures, quantitatifs et export",Export de données,Export Excel,Export d’un tableau de données vers EXCEL dans une feuille de calcul,Intermédiaire,Conceptuel (QCM),Démonstration formateur,P1,,,,,
87,PRG-039,"4 – Mesures, quantitatifs et export",Export de données,Export CSV / nomenclature,Export d’une nomenclature au format CSV à partir de Grasshopper,Intermédiaire,Conceptuel (QCM),Démonstration formateur,P1,,,,,
88,PRG-025,"5 – Méthode, performance et évènements",Organisation et performance,Organisation et lisibilité,"Apprendre une méthode d’organisation et de rangement du code pour optimiser la vitesse de développement (Clusters, Nommage des paramètres d’entrée et de sortie, Groupes, titres)",Intermédiaire,Conceptuel (QCM),QCM / question ciblée,P1,,,,,
89,PRG-026,"5 – Méthode, performance et évènements",Organisation et performance,Performance d'exécution,"Optimiser la vitesse d’exécution d’une définition Grasshopper ( Multiprocessing, analyse des temps d’exécution des composants les plus gourmands)",Perfectionnement,NumericTolerance,Exercice Grasshopper,P2,,,,,
90,PRG-027,"5 – Méthode, performance et évènements",Chronologie et évènements,Ordre d'exécution des tâches,"Appréhender la notion d’ordre d’exécution des tâches (Déclencheurs, Timer…)",Perfectionnement,Conceptuel (QCM),QCM / question ciblée,P2,,,,,
91,PRG-040,"5 – Méthode, performance et évènements",Chronologie et évènements,Évènement clavier,Détecter l’appui de l’utilisateur sur une touche du clavier,Perfectionnement,Conceptuel (QCM),Démonstration formateur,P2,,,,,
92,PRG-041,"5 – Méthode, performance et évènements",Chronologie et évènements,Évènement souris,Détecter le mouvement de la souris,Perfectionnement,Conceptuel (QCM),Démonstration formateur,P2,,,,,
93,PRG-028,6 – Algorithmique avancée,Boucles et itération,Boucles et itération,Utilisation des boucles sur groupe de composants avec les plugins Hoopsnake et Anemone,Perfectionnement,ExactOrderedList,Exercice Grasshopper,P2,,,,,
94,PRG-029,6 – Algorithmique avancée,Simulation physique,Simulation physique,Utiliser un moteur physique pour modéliser un phénomène dynamique et trouver un équilibre entre plusieurs contraintes avec Kangaroo,Perfectionnement,GeometryTolerance,Exercice Grasshopper,P2,,,,,
95,PRG-030,6 – Algorithmique avancée,Design génératif,Design génératif,Utiliser un algorithme génétique pour optimiser des variables d’entrée en fonction d’une valeur cible à maximiser ou minimiser avec Galapagos,Perfectionnement,NumericTolerance,Exercice Grasshopper,P2,,,,,
96,PRG-033,"7 – Développement, scripting et API",Compilation et IDE,Composant compilé .gha,Comment réaliser un composant *.gha pour Grasshopper,Expert,Conceptuel (QCM),Démonstration formateur,P2,,,,,
97,PRG-034,"7 – Développement, scripting et API",Compilation et IDE,Compilation en plugin .rhp,Comment compiler une définition grasshopper pour en faire un plugin *.rhp de Rhino en utilisant le compilateur de scripts,Expert,Conceptuel (QCM),Démonstration formateur,P2,,,,,
98,PRG-047,"7 – Développement, scripting et API",Compilation et IDE,IDE Visual Studio – templates,Découvrir les templates disponibles sous Visual Studio,Expert,Conceptuel (QCM),Démonstration formateur,P2,,,,,
99,PRG-048,"7 – Développement, scripting et API",Compilation et IDE,Plugin Rhino en C#.NET,Ecrire un composant plugin de Rhino en C#.NET sous Visual Studio,Expert,Conceptuel (QCM),Démonstration formateur,P2,,,,,
100,PRG-035,"7 – Développement, scripting et API",Scripting dans Grasshopper,Scripting dans Grasshopper,Ecrire un composant VB / C# / Python personnalisé dans grasshopper,Expert,SingleValue,Exercice Grasshopper,P2,,,,,
101,PRG-045,"7 – Développement, scripting et API",Scripting dans Grasshopper,Composant Python,Ecrire un composant Python personnalisé dans grasshopper,Expert,SingleValue,Exercice Grasshopper,P2,,,,,
102,PRG-046,"7 – Développement, scripting et API",Scripting dans Grasshopper,Composant VB / C#,Ecrire un composant VB / C# personnalisé dans grasshopper,Expert,SingleValue,Exercice Grasshopper,P2,,,,,
103,PRG-042,"7 – Développement, scripting et API",API et librairies,API RhinoCommon,"Présentation des différentes API Rhinocommon dans l’environnement Rhino dans les différents langages de programmation (Python, C#.NET, VB.NET, etc…)",Expert,Conceptuel (QCM),QCM / question ciblée,P2,,,,,
104,PRG-043,"7 – Développement, scripting et API",API et librairies,Librairies opensource Rhino,"Présentation des librairies opensource de Rhino : openNURBS, Rhino3dm etc…",Expert,Conceptuel (QCM),QCM / question ciblée,P2,,,,,
105,PRG-044,"7 – Développement, scripting et API",API et librairies,API Grasshopper,API Grasshopper,Expert,Conceptuel (QCM),QCM / question ciblée,P2,,,,,
106,PRG-031,"8 – Interfaces, web et interopérabilité",Interfaces utilisateur,Interfaçage d'une définition,"Interfacer une définition Grasshopper (Remote control panel, Interface WPF/C# dans Rhino…)",Perfectionnement,Conceptuel (QCM),Démonstration formateur,P2,,,,,
107,PRG-032,"8 – Interfaces, web et interopérabilité",Interfaces utilisateur,Intégration dans Rhino,Lier une définition Grasshopper à un bouton de barre d’outil de Rhino,Perfectionnement,Conceptuel (QCM),Démonstration formateur,P2,,,,,
108,PRG-054,"8 – Interfaces, web et interopérabilité",Publication web,Publication web ShapeDiver,Mise en ligne d’une définition Grasshopper avec Shapediver,Perfectionnement,Conceptuel (QCM),Démonstration formateur,P2,,,,,
109,PRG-055,"8 – Interfaces, web et interopérabilité",Publication web,Téléchargement de modèles 3D,Ajout d’un bouton pour télécharger des modèles 3D,Perfectionnement,Conceptuel (QCM),Démonstration formateur,P2,,,,,
110,PRG-056,"8 – Interfaces, web et interopérabilité",Publication web,Génération de plans PDF,Ajout d’un bouton pour télécharger des plans PDF,Perfectionnement,Conceptuel (QCM),Démonstration formateur,P2,,,,,
111,PRG-057,"8 – Interfaces, web et interopérabilité",Interopérabilité,Rhino.Inside,Exemple d’interopérabilité avec un autre logiciel avec Rhino.Inside,Expert,Conceptuel (QCM),Démonstration formateur,P2,,,,,
112,PRG-058,"8 – Interfaces, web et interopérabilité",Interopérabilité,Rhino.Compute,Utilisation de Rhino.Compute pour appeler des fonctions Rhino ou Grasshopper depuis un site web,Expert,Conceptuel (QCM),Démonstration formateur,P2,,,,,
113,PRG-059,9 – Aide à la fabrication,Imbrication,Imbrication 2D (OpenNest),Exemple d’usage de Grasshopper pour l’aide à la fabrication avec l’utilisation d’OpenNest et de ses composants qui permettent l’imbrication de pièces dans des plaques de matière,Perfectionnement,GeometryTolerance,Exercice Grasshopper,P2,,,,,
114,PRG-060,9 – Aide à la fabrication,Imbrication,Imbrication 3D,Imbrication 3D pour la mise en carton,Perfectionnement,GeometryTolerance,Exercice Grasshopper,P2,,,,,
115,PRG-061,9 – Aide à la fabrication,Déroulé et mise à plat,Déroulé de surface,Utilisation des fonctions de déroulé de surface,Perfectionnement,GeometryTolerance,Exercice Grasshopper,P2,,,,,
116,PRG-062,9 – Aide à la fabrication,Déroulé et mise à plat,Déroulé de tôle,Déroulé de tôles en prenant en compte l’épaisseur de la pièce et le retrait,Perfectionnement,NumericTolerance,Exercice Grasshopper,P2,,,,,
